,Name,Location,Magnitude,URL
962,"M 3.0 - 65 km NNE of Petersville, Alaska","65 km NNE of Petersville, Alaska",3.0,https://earthquake.usgs.gov/earthquakes/eventpage/ak0258k3px0
823,"M 3.0 - 6 km SE of Mooringsport, Louisiana","6 km SE of Mooringsport, Louisiana",3.0,https://earthquake.usgs.gov/earthquakes/eventpage/us6000pi49
1177,"M 3.0 - 66 km NE of Christiansted, U.S. Virgin Islands","66 km NE of Christiansted, U.S. Virgin Islands",2.98,https://earthquake.usgs.gov/earthquakes/eventpage/pr71470153
1634,"M 3.0 - 39 km SE of Naalehu, Hawaii","39 km SE of Naalehu, Hawaii",2.97,https://earthquake.usgs.gov/earthquakes/eventpage/hv74582777
651,"M 2.9 - 23 km WNW of Rincón, Puerto Rico","23 km WNW of Rincón, Puerto Rico",2.92,https://earthquake.usgs.gov/earthquakes/eventpage/pr71470298
666,"M 2.9 - 14 km SSE of Isla Vista, CA","14 km SSE of Isla Vista, CA",2.91,https://earthquake.usgs.gov/earthquakes/eventpage/ci40834887
1343,"M 2.9 - 11 km ESE of Smith, Nevada","11 km ESE of Smith, Nevada",2.9,https://earthquake.usgs.gov/earthquakes/eventpage/nn00891374
1507,"M 2.9 - 52 km WSW of Carrizozo, New Mexico","52 km WSW of Carrizozo, New Mexico",2.9,https://earthquake.usgs.gov/earthquakes/eventpage/us6000phev
1397,"M 2.9 - 20 km SE of Stockdale, Texas","20 km SE of Stockdale, Texas",2.9,https://earthquake.usgs.gov/earthquakes/eventpage/tx2025afjc
934,"M 2.9 - 71 km WNW of Petrolia, CA","71 km WNW of Petrolia, CA",2.88,https://earthquake.usgs.gov/earthquakes/eventpage/nc75113251
1492,"M 2.9 - 11 km E of Pangburn, Arkansas","11 km E of Pangburn, Arkansas",2.88,https://earthquake.usgs.gov/earthquakes/eventpage/nm60596046
1429,"M 2.9 - 59 km WNW of Petrolia, CA","59 km WNW of Petrolia, CA",2.86,https://earthquake.usgs.gov/earthquakes/eventpage/nc75112576
727,"M 2.9 - 21 km ENE of San Lucas, CA","21 km ENE of San Lucas, CA",2.85,https://earthquake.usgs.gov/earthquakes/eventpage/nc75113596
1420,"M 2.8 - 153 km ESE of McCarthy, Alaska","153 km ESE of McCarthy, Alaska",2.8,https://earthquake.usgs.gov/earthquakes/eventpage/us6000phq7
412,"M 2.8 - 62 km E of Denali Park, Alaska","62 km E of Denali Park, Alaska",2.8,https://earthquake.usgs.gov/earthquakes/eventpage/us6000pigq
688,"M 2.8 - 31 km N of Brenas, Puerto Rico","31 km N of Brenas, Puerto Rico",2.8,https://earthquake.usgs.gov/earthquakes/eventpage/pr71470288
394,"M 2.8 - 4 km W of The Geysers, CA","4 km W of The Geysers, CA",2.8,https://earthquake.usgs.gov/earthquakes/eventpage/nc75114241
1148,"M 2.8 - 44 km WNW of Petrolia, CA","44 km WNW of Petrolia, CA",2.8,https://earthquake.usgs.gov/earthquakes/eventpage/nc75112931
432,"M 2.8 - 20 km SW of Toms Place, CA","20 km SW of Toms Place, CA",2.76,https://earthquake.usgs.gov/earthquakes/eventpage/nc75114141
169,"M 2.8 - 7 km SW of Holtville, CA","7 km SW of Holtville, CA",2.76,https://earthquake.usgs.gov/earthquakes/eventpage/ci40836207
1228,"M 2.7 - 11 km SSW of Leilani Estates, Hawaii","11 km SSW of Leilani Estates, Hawaii",2.73,https://earthquake.usgs.gov/earthquakes/eventpage/hv74583677
80,"M 2.7 - 37 km WNW of Petrolia, CA","37 km WNW of Petrolia, CA",2.72,https://earthquake.usgs.gov/earthquakes/eventpage/nc75114831
924,"M 2.7 - 1 km NW of Lajas, Puerto Rico","1 km NW of Lajas, Puerto Rico",2.71,https://earthquake.usgs.gov/earthquakes/eventpage/pr71470233
1572,"M 2.7 - 10 km W of Forsan, Texas","10 km W of Forsan, Texas",2.7,https://earthquake.usgs.gov/earthquakes/eventpage/tx2025aeeb
1314,"M 2.7 - 30 km SW of Tanana, Alaska","30 km SW of Tanana, Alaska",2.7,https://earthquake.usgs.gov/earthquakes/eventpage/ak0256pgul5
87,"M 2.7 - 20 km ENE of Austin, Nevada","20 km ENE of Austin, Nevada",2.7,https://earthquake.usgs.gov/earthquakes/eventpage/nn00891633
111,"M 2.7 - 32 km SSE of Hope, New Mexico","32 km SSE of Hope, New Mexico",2.7,https://earthquake.usgs.gov/earthquakes/eventpage/us6000pit4
